epoch;train_loss;val_loss;pixel_accuracy;mean_dice;learning_rate;best_val_loss;best_mean_dice;val_loss_improvement;dice_improvement;epochs_without_val_loss_improvement;epochs_without_dice_improvement;saved_top_val_loss;saved_top_mean_dice;dice_class_1;dice_class_2;dice_class_3;dice_class_4;dice_class_5;dice_class_6;dice_class_7;dice_class_8;dice_class_9;dice_class_10;dice_class_11;dice_class_12;dice_class_13;dice_class_14;dice_class_15
23;0.331698;0.77877;99.089828;0.666427;0.0001;0.775279;0.666427;-0.003491;0.00432;1;0;0;1;0.769733;0.796456;0.844369;0.455409;0.699662;0.82173;0.635847;0.89018;0.770716;0.572085;0.412379;0.507197;0.522717;0.667431;0.630502
24;0.330731;0.778597;99.101165;0.672111;0.0001;0.775279;0.672111;-0.003318;0.005684;2;0;0;1;0.813579;0.838995;0.834552;0.454625;0.689514;0.820426;0.620944;0.895359;0.782551;0.576978;0.469702;0.507637;0.517758;0.654777;0.604274
25;0.327183;0.778739;99.090341;0.669506;0.0001;0.775279;0.672111;-0.00346;-0.002606;3;1;0;1;0.833872;0.84727;0.765082;0.465326;0.702345;0.842163;0.635019;0.895793;0.771773;0.603256;0.47053;0.539929;0.524399;0.572344;0.573486
26;0.327814;0.776671;99.111457;0.67582;0.0001;0.775279;0.67582;-0.001392;0.003709;4;0;1;1;0.835562;0.854586;0.835856;0.459027;0.699406;0.847985;0.634204;0.894526;0.77804;0.585377;0.501777;0.518687;0.52767;0.56686;0.597741
27;0.326001;0.774755;99.123429;0.669146;0.0001;0.774755;0.67582;0.000524;-0.006674;5;1;1;0;0.820369;0.816795;0.821114;0.47172;0.714156;0.835156;0.628983;0.887692;0.778394;0.550271;0.506195;0.503956;0.521625;0.59299;0.587776
28;0.30118;0.670476;99.112764;0.673555;0.0001;0.670476;0.67582;0.104279;-0.002265;0;2;1;1;0.804618;0.838883;0.823493;0.45125;0.711175;0.830842;0.612035;0.886649;0.787821;0.611493;0.503817;0.510507;0.509781;0.620531;0.600433
29;0.295335;0.687479;99.020195;0.602852;0.0001;0.670476;0.67582;-0.017003;-0.072968;1;3;1;0;0.772718;0.764256;0.790741;0.466388;0.682859;0.820216;0.506598;0.87779;0.70576;0.552693;0.045698;0.412239;0.474717;0.610085;0.560024
30;0.286519;0.674096;99.089069;0.672501;0.0001;0.670476;0.67582;-0.003621;-0.003319;2;4;1;0;0.826281;0.778665;0.848065;0.504728;0.669388;0.853079;0.621691;0.882182;0.760969;0.595243;0.473671;0.492808;0.505225;0.650386;0.625134
31;0.28657;0.670262;99.082446;0.657096;0.0001;0.670262;0.67582;0.000214;-0.018724;3;5;1;0;0.813845;0.837888;0.816529;0.441586;0.696389;0.822507;0.608401;0.888745;0.781507;0.584053;0.510544;0.519985;0.502361;0.465819;0.566283
32;0.284908;0.672352;99.059821;0.646063;0.0001;0.670262;0.67582;-0.002089;-0.029757;4;6;0;0;0.818552;0.814107;0.790923;0.406076;0.688351;0.855175;0.603841;0.891902;0.780522;0.594504;0.401828;0.498121;0.514079;0.415321;0.617641
33;0.286144;0.680067;99.040935;0.649936;0.0001;0.670262;0.67582;-0.009805;-0.025885;5;7;0;0;0.836663;0.798984;0.689037;0.46266;0.689058;0.834748;0.626879;0.887358;0.770797;0.559308;0.464207;0.388273;0.500554;0.616708;0.623799
34;0.281536;0.670763;99.101955;0.641856;0.0001;0.670262;0.67582;-0.000501;-0.033964;6;8;0;0;0.755203;0.787654;0.808462;0.478277;0.707356;0.816055;0.584807;0.879689;0.770627;0.58805;0.487724;0.293886;0.489726;0.612813;0.567515
