epoch;train_loss;val_loss;voxel_accuracy;mean_dice;learning_rate;best_val_loss;best_mean_dice;val_loss_improvement;dice_improvement;epochs_without_val_loss_improvement;epochs_without_dice_improvement;saved_top_val_loss;saved_top_mean_dice;dice_class_1;dice_class_2;dice_class_3;dice_class_4;dice_class_5;dice_class_6;dice_class_7;dice_class_8;dice_class_9;dice_class_10;dice_class_11;dice_class_12;dice_class_13;dice_class_14;dice_class_15
1;2.27756;1.691441;83.99572;0.03243;0.0001;1.691441;0.03243;inf;0.03243;0;0;1;1;0.0;0.0;0.0;0.0;0.0;0.486447;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2;1.533256;1.519815;86.67274;0.035351;0.0001;1.519815;0.035351;0.171626;0.002921;0;0;1;1;0.0;0.0;0.0;0.0;0.0;0.522742;0.007518;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3;1.442316;1.479983;86.970368;0.044555;0.0001;1.479983;0.044555;0.039832;0.009205;0;0;1;1;0.002545;0.0;0.0;0.0;0.0;0.531285;0.083417;0.051084;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4;1.392507;1.437334;87.577972;0.054506;0.0001;1.437334;0.054506;0.04265;0.00995;0;0;1;1;0.010423;0.013408;0.0;0.0;0.0;0.526086;0.134455;0.133097;5e-06;0.0;0.0;0.0;0.000116;0.0;0.0
5;1.353561;1.396873;88.081621;0.070437;0.0001;1.396873;0.070437;0.040461;0.015931;0;0;1;1;0.048974;0.154743;0.0;0.0;0.0;0.532581;0.140481;0.179654;0.000117;0.0;0.0;0.0;0.0;0.0;0.0
