epoch;train_loss;val_loss;voxel_accuracy;mean_dice;learning_rate;best_val_loss;best_mean_dice;val_loss_improvement;dice_improvement;epochs_without_val_loss_improvement;epochs_without_dice_improvement;saved_top_val_loss;saved_top_mean_dice;dice_class_1;dice_class_2;dice_class_3;dice_class_4;dice_class_5;dice_class_6;dice_class_7;dice_class_8;dice_class_9;dice_class_10;dice_class_11;dice_class_12;dice_class_13;dice_class_14;dice_class_15
21;1.06983;1.192479;92.90711;0.410025;0.0001;1.192479;0.410025;0.010436;0.013599;0;0;1;1;0.430471;0.472036;0.507868;0.246362;0.369951;0.637991;0.450192;0.637683;0.521261;0.500081;0.363799;0.284431;0.381791;0.177586;0.168876
22;1.062215;1.244548;92.928743;0.396951;0.0001;1.192479;0.410025;-0.052068;-0.013074;1;1;0;1;0.356676;0.486004;0.458529;0.287959;0.34578;0.630508;0.450822;0.621713;0.523069;0.490229;0.32977;0.242731;0.377313;0.18131;0.171852
23;1.054744;1.191088;93.400361;0.408608;0.0001;1.191088;0.410025;0.001392;-0.001417;0;2;1;1;0.415441;0.429803;0.484103;0.243186;0.384488;0.640308;0.459347;0.643758;0.522124;0.524691;0.29463;0.277568;0.399887;0.221374;0.188417
24;1.046745;1.187775;93.153718;0.406427;0.0001;1.187775;0.410025;0.003313;-0.003599;0;3;1;0;0.386267;0.484504;0.457473;0.272043;0.399935;0.655391;0.447775;0.621756;0.529723;0.516551;0.317;0.280447;0.40237;0.180663;0.144501
25;1.035305;1.187239;93.459098;0.398558;0.0001;1.187239;0.410025;0.000536;-0.011467;1;4;1;0;0.375137;0.420927;0.448603;0.237174;0.397929;0.647403;0.460391;0.646166;0.525787;0.505919;0.319597;0.299472;0.39114;0.156719;0.146003
26;1.033178;1.29984;92.348171;0.374231;0.0001;1.187239;0.410025;-0.112601;-0.035794;2;5;0;0;0.376287;0.412033;0.491373;0.20645;0.362501;0.610075;0.437688;0.638292;0.483615;0.499207;0.271572;0.21979;0.376681;0.126345;0.101557
27;1.023955;1.16803;93.768063;0.423037;0.0001;1.16803;0.423037;0.019209;0.013012;0;0;1;1;0.442378;0.496346;0.513689;0.286326;0.353779;0.652593;0.471452;0.636352;0.555169;0.528929;0.341279;0.30949;0.422758;0.164542;0.170469
28;1.018443;1.203684;93.515506;0.413481;0.0001;1.16803;0.423037;-0.035654;-0.009556;1;1;0;1;0.385055;0.461304;0.486057;0.262925;0.412399;0.644217;0.473187;0.674035;0.524156;0.539919;0.313099;0.293773;0.421701;0.178978;0.131404
29;1.012288;1.140556;93.539999;0.420749;0.0001;1.140556;0.423037;0.027474;-0.002288;0;2;1;1;0.389575;0.504005;0.512154;0.280769;0.383096;0.653249;0.471917;0.625215;0.545906;0.523251;0.339774;0.289729;0.409566;0.212311;0.170712
30;1.003747;1.150175;93.695138;0.425324;0.0001;1.140556;0.425324;-0.009618;0.002287;1;0;1;1;0.411279;0.463796;0.52098;0.301222;0.395643;0.652993;0.47154;0.653291;0.552749;0.530063;0.370774;0.304395;0.432369;0.162131;0.156635
31;0.999267;1.136516;93.830717;0.428641;0.0001;1.136516;0.428641;0.00404;0.003317;0;0;1;1;0.401805;0.506624;0.518141;0.315596;0.409658;0.662128;0.479791;0.624364;0.557577;0.534418;0.345208;0.315845;0.429019;0.155795;0.173649
32;0.994863;1.187346;93.434125;0.426319;0.0001;1.136516;0.428641;-0.05083;-0.002322;1;1;0;1;0.365688;0.501598;0.492893;0.29864;0.406425;0.642654;0.450475;0.63991;0.534238;0.519762;0.359729;0.319387;0.428668;0.230258;0.20446
33;0.995068;1.166801;93.788362;0.428692;0.0001;1.136516;0.428692;-0.030284;5.1e-05;2;2;0;1;0.421729;0.491178;0.480526;0.251722;0.389779;0.662588;0.48742;0.648715;0.558948;0.529138;0.372865;0.323422;0.434157;0.193508;0.184687
34;0.984743;1.163684;94.066452;0.444225;0.0001;1.136516;0.444225;-0.027168;0.015533;3;0;0;1;0.428891;0.493756;0.52003;0.30629;0.426879;0.668144;0.508194;0.642393;0.562208;0.554216;0.394932;0.332772;0.451279;0.171662;0.20173
35;0.979581;1.17473;93.240225;0.430475;0.0001;1.136516;0.444225;-0.038214;-0.01375;4;1;0;1;0.445804;0.502475;0.509035;0.292244;0.445992;0.646455;0.455905;0.675938;0.547531;0.5509;0.388114;0.294622;0.419657;0.155413;0.127037
36;0.972996;1.135719;94.012318;0.443542;0.0001;1.135719;0.444225;0.000797;-0.000683;5;2;1;1;0.452705;0.493809;0.564482;0.280681;0.427242;0.673752;0.496186;0.66073;0.552427;0.544665;0.388641;0.356435;0.421071;0.164084;0.176217
37;0.965822;1.150774;94.264729;0.445879;0.0001;1.135719;0.445879;-0.015055;0.001654;6;0;0;1;0.445762;0.534648;0.524446;0.334517;0.418255;0.670668;0.503821;0.61605;0.555367;0.540377;0.402732;0.333981;0.435932;0.171383;0.200251
38;0.965381;1.157824;94.199176;0.447093;0.0001;1.135719;0.447093;-0.022105;0.001213;7;0;0;1;0.444157;0.48698;0.514697;0.304593;0.402605;0.660028;0.502421;0.675329;0.561904;0.542224;0.39158;0.339211;0.454552;0.236912;0.189195
39;0.962532;1.147904;94.077358;0.436704;0.0001;1.135719;0.447093;-0.012185;-0.010388;8;1;0;0;0.452857;0.478915;0.539074;0.311709;0.400806;0.659243;0.494584;0.655577;0.55483;0.535242;0.348472;0.288971;0.436733;0.211172;0.182374
40;0.955003;1.15274;94.069039;0.447253;0.0001;1.135719;0.447253;-0.017021;0.00016;9;2;0;1;0.426831;0.53543;0.543058;0.316408;0.363878;0.665633;0.50515;0.675311;0.556526;0.565929;0.412103;0.340638;0.448614;0.185097;0.168189
41;0.956985;1.148533;94.272816;0.46009;0.0001;1.135719;0.46009;-0.012814;0.012837;10;0;0;1;0.440425;0.514412;0.556518;0.288303;0.487353;0.663806;0.517807;0.687745;0.568351;0.571787;0.390306;0.385908;0.45388;0.185525;0.189231
42;0.948253;1.155651;94.099441;0.438519;5e-05;1.135719;0.46009;-0.019932;-0.021571;1;1;0;0;0.414654;0.475585;0.50559;0.304126;0.45061;0.671389;0.506098;0.662429;0.537362;0.54407;0.363762;0.355367;0.429479;0.176229;0.181036
43;0.92271;1.116624;94.524994;0.469644;5e-05;1.116624;0.469644;0.019095;0.009553;0;0;1;1;0.487716;0.563995;0.583922;0.313578;0.465179;0.682551;0.527287;0.66354;0.588112;0.575896;0.389997;0.377298;0.445423;0.190195;0.189964
44;0.915259;1.112999;94.925586;0.484676;5e-05;1.112999;0.484676;0.003625;0.015032;0;0;1;1;0.453251;0.556052;0.583474;0.343576;0.46581;0.702913;0.537746;0.683349;0.594969;0.59173;0.419564;0.390191;0.471756;0.231272;0.244479
45;0.912918;1.116875;94.535339;0.462417;5e-05;1.112999;0.484676;-0.003877;-0.022259;1;1;0;0;0.451324;0.535171;0.558347;0.301734;0.423475;0.686014;0.521135;0.67126;0.582538;0.580198;0.370922;0.354644;0.448438;0.231609;0.21944
