epoch;train_loss;val_loss;voxel_accuracy;mean_dice;learning_rate;best_val_loss;best_mean_dice;val_loss_improvement;dice_improvement;epochs_without_val_loss_improvement;epochs_without_dice_improvement;saved_top_val_loss;saved_top_mean_dice;dice_class_1;dice_class_2;dice_class_3;dice_class_4;dice_class_5;dice_class_6;dice_class_7;dice_class_8;dice_class_9;dice_class_10;dice_class_11;dice_class_12;dice_class_13;dice_class_14;dice_class_15
1;2.407485;2.137551;82.906896;0.103574;0.0001;2.137551;0.103574;inf;0.103574;0;0;1;1;0.063974;0.130418;0.099534;0.001907;0.0;0.457939;0.166275;0.357538;0.206734;0.023416;0.0;0.0;0.045875;0.0;0.0
2;1.964038;1.893201;84.424283;0.167894;0.0001;1.893201;0.167894;0.244349;0.06432;0;0;1;1;0.159165;0.149721;0.222087;0.042946;0.106353;0.477479;0.21165;0.421233;0.289991;0.182382;0.019852;0.000329;0.141416;0.086078;0.007724
3;1.727988;1.708857;86.172044;0.216069;0.0001;1.708857;0.216069;0.184345;0.048175;0;0;1;1;0.184558;0.212381;0.248595;0.085048;0.177216;0.49488;0.235167;0.443799;0.328706;0.275226;0.116755;0.081174;0.194169;0.094173;0.069192
4;1.571602;1.603574;86.972036;0.245095;0.0001;1.603574;0.245095;0.105283;0.029025;0;0;1;1;0.199154;0.231971;0.279316;0.101079;0.217964;0.527577;0.271258;0.478424;0.360344;0.342743;0.151302;0.125323;0.225121;0.101552;0.06329
5;1.476759;1.492523;88.118047;0.269637;0.0001;1.492523;0.269637;0.111051;0.024543;0;0;1;1;0.211704;0.273915;0.295962;0.118981;0.24667;0.548441;0.290623;0.504939;0.393116;0.371183;0.171709;0.140203;0.24917;0.137117;0.090828
6;1.407836;1.432102;89.727063;0.28814;0.0001;1.432102;0.28814;0.06042;0.018502;0;0;1;1;0.247441;0.269915;0.340752;0.149205;0.277002;0.54662;0.334457;0.505419;0.434114;0.405808;0.189971;0.153394;0.274857;0.118068;0.075071
7;1.356248;1.413593;89.464307;0.296012;0.0001;1.413593;0.296012;0.018509;0.007872;0;0;1;1;0.265096;0.262042;0.341305;0.143571;0.305165;0.52974;0.329298;0.550549;0.42807;0.38887;0.216833;0.168033;0.275747;0.131206;0.104654
8;1.313944;1.373511;90.212543;0.309556;0.0001;1.373511;0.309556;0.040082;0.013544;0;0;1;1;0.298748;0.300363;0.362967;0.160396;0.275132;0.582332;0.354401;0.54619;0.430846;0.401041;0.218208;0.176765;0.287542;0.133716;0.114698
9;1.276352;1.361972;90.633751;0.326885;0.0001;1.361972;0.326885;0.011539;0.017328;0;0;1;1;0.269549;0.333509;0.382772;0.178587;0.290556;0.576921;0.357964;0.549211;0.464541;0.425628;0.260119;0.193436;0.306827;0.169235;0.144413
10;1.248437;1.3523;91.1619;0.33408;0.0001;1.3523;0.33408;0.009671;0.007196;0;0;1;1;0.324312;0.336706;0.397657;0.207947;0.30291;0.590883;0.362609;0.572775;0.483948;0.450592;0.250967;0.198774;0.316765;0.128824;0.085539
11;1.22383;1.300035;90.722449;0.332751;0.0001;1.300035;0.33408;0.052266;-0.001329;0;1;1;1;0.303419;0.389386;0.416183;0.184234;0.295954;0.59551;0.388936;0.53694;0.446748;0.43058;0.217138;0.209137;0.30776;0.172578;0.096767
12;1.199194;1.267723;91.935094;0.364526;0.0001;1.267723;0.364526;0.032312;0.030446;0;0;1;1;0.325648;0.428288;0.453869;0.213556;0.332315;0.607284;0.395269;0.577603;0.482245;0.462468;0.298501;0.248043;0.349751;0.169278;0.123776
13;1.181237;1.297892;91.439041;0.349232;0.0001;1.267723;0.364526;-0.030169;-0.015295;1;1;1;1;0.307314;0.361738;0.402698;0.199621;0.328281;0.576144;0.395182;0.607382;0.488988;0.451371;0.279872;0.22117;0.351198;0.153499;0.114015
14;1.163402;1.241819;92.023509;0.366887;0.0001;1.241819;0.366887;0.025904;0.002361;0;0;1;1;0.349379;0.414753;0.439371;0.237442;0.303097;0.625528;0.40507;0.583956;0.491275;0.47112;0.28854;0.231711;0.349076;0.175994;0.136996
15;1.145729;1.27494;91.420767;0.369765;0.0001;1.241819;0.369765;-0.033121;0.002878;1;0;0;1;0.330902;0.408124;0.4103;0.237482;0.327759;0.610686;0.403751;0.63081;0.513352;0.470182;0.292061;0.217407;0.342548;0.192345;0.158767
16;1.131391;1.235246;92.205793;0.37902;0.0001;1.235246;0.37902;0.006573;0.009255;0;0;1;1;0.331475;0.438546;0.463182;0.217802;0.364954;0.618699;0.406219;0.597513;0.506129;0.476184;0.310091;0.24321;0.367225;0.181073;0.162995
17;1.114158;1.202916;92.761522;0.382108;0.0001;1.202916;0.382108;0.032331;0.003089;0;0;1;1;0.387719;0.430453;0.418497;0.260242;0.369625;0.629103;0.448443;0.605985;0.519101;0.494598;0.267988;0.228737;0.391969;0.147083;0.132084
18;1.110065;1.218848;92.110003;0.369316;0.0001;1.202916;0.382108;-0.015932;-0.012793;1;1;1;0;0.3576;0.426197;0.433162;0.21776;0.307719;0.627416;0.420127;0.607145;0.506758;0.482736;0.274653;0.231294;0.355398;0.159777;0.131992
19;1.091765;1.251462;91.789656;0.365553;0.0001;1.202916;0.382108;-0.048546;-0.016555;2;2;0;0;0.383697;0.389079;0.445027;0.209024;0.345779;0.615275;0.416436;0.589186;0.44765;0.473951;0.258227;0.252982;0.356229;0.159711;0.141044
20;1.081517;1.228141;92.98651;0.396426;0.0001;1.202916;0.396426;-0.025225;0.014317;3;0;0;1;0.386464;0.471592;0.473134;0.247654;0.362481;0.629331;0.435677;0.646836;0.506739;0.500727;0.302098;0.288849;0.381013;0.180533;0.133259
