epoch;train_loss;val_loss;voxel_accuracy;mean_dice;learning_rate;best_val_loss;best_mean_dice;val_loss_improvement;dice_improvement;epochs_without_val_loss_improvement;epochs_without_dice_improvement;saved_top_val_loss;saved_top_mean_dice;dice_class_1;dice_class_2;dice_class_3;dice_class_4;dice_class_5;dice_class_6;dice_class_7;dice_class_8;dice_class_9;dice_class_10;dice_class_11;dice_class_12;dice_class_13;dice_class_14;dice_class_15
25;1.042891;1.126759;92.437525;0.234408;0.0001;1.126759;0.234408;0.01197;0.010891;0;0;1;1;0.224846;0.326471;0.231506;0.264218;0.123785;0.630181;0.321137;0.409518;0.346157;0.318437;0.0;0.0;0.19172;0.128138;0.0
26;1.028563;1.1221;92.67516;0.234405;0.0001;1.1221;0.234408;0.004659;-3e-06;0;1;1;1;0.224097;0.335951;0.266779;0.277389;0.155522;0.619467;0.331271;0.380939;0.313727;0.29932;0.0;0.0;0.190606;0.121005;0.0
27;1.021803;1.110033;92.483106;0.240183;0.0001;1.110033;0.240183;0.012067;0.005775;0;0;1;1;0.246654;0.330604;0.225837;0.268551;0.178648;0.652132;0.33501;0.396487;0.32888;0.340757;0.0;0.0;0.197507;0.101595;7.6e-05
28;1.014064;1.105097;92.534092;0.233612;0.0001;1.105097;0.240183;0.004936;-0.00657;0;1;1;0;0.200526;0.294812;0.211541;0.243097;0.176438;0.648863;0.333152;0.373696;0.37292;0.337647;0.0;0.0;0.212107;0.096643;0.002743
29;1.011575;1.140944;91.878946;0.221911;0.0001;1.105097;0.240183;-0.035848;-0.018272;1;2;0;0;0.183415;0.254887;0.213947;0.270494;0.15431;0.580821;0.313836;0.350224;0.350278;0.286468;0.0;0.0;0.189707;0.151493;0.028779
30;0.996973;1.097854;92.669538;0.239817;0.0001;1.097854;0.240183;0.007243;-0.000366;0;3;1;1;0.234142;0.302001;0.226875;0.263365;0.174773;0.652351;0.344289;0.361728;0.307781;0.349127;0.003098;0.0;0.216556;0.135287;0.025879
31;0.993487;1.103242;92.978942;0.25206;0.0001;1.097854;0.25206;-0.005388;0.011878;1;0;1;1;0.261069;0.34866;0.267475;0.281633;0.172387;0.646726;0.350032;0.365178;0.360336;0.336715;0.034307;0.0;0.225225;0.110435;0.020721
32;0.981911;1.09926;92.850421;0.255;0.0001;1.097854;0.255;-0.001407;0.00294;2;0;1;1;0.226455;0.331988;0.250435;0.274342;0.175105;0.62041;0.346019;0.366795;0.371905;0.34127;0.104294;0.0;0.237297;0.127014;0.051668
33;0.976599;1.097915;92.734421;0.262787;0.0001;1.097854;0.262787;-6.1e-05;0.007787;3;0;1;1;0.240677;0.318001;0.2545;0.257778;0.187443;0.647534;0.353774;0.428974;0.338706;0.350151;0.132947;0.0;0.222324;0.162658;0.046341
34;0.969435;1.099457;92.761953;0.258506;0.0001;1.097854;0.262787;-0.001603;-0.004281;4;1;0;1;0.261314;0.327899;0.252769;0.24963;0.180594;0.650667;0.351682;0.392269;0.371364;0.342217;0.127952;0.0;0.228052;0.111768;0.029414
35;0.964916;1.088703;93.082347;0.279095;0.0001;1.088703;0.279095;0.00915;0.016307;0;0;1;1;0.246944;0.338801;0.25709;0.276524;0.213432;0.643504;0.358835;0.429246;0.388981;0.374461;0.173521;0.0;0.235863;0.164796;0.084422
36;0.95673;1.071852;93.324001;0.283326;0.0001;1.071852;0.283326;0.016851;0.004231;0;0;1;1;0.267582;0.353947;0.275913;0.266775;0.214144;0.668808;0.38227;0.397754;0.375145;0.38335;0.167012;0.0;0.244168;0.151915;0.101104
37;0.954397;1.082179;93.147275;0.273897;0.0001;1.071852;0.283326;-0.010327;-0.009429;1;1;1;0;0.225069;0.353861;0.252883;0.28621;0.225858;0.649116;0.374377;0.369161;0.37239;0.366599;0.185102;0.0;0.235388;0.140937;0.071503
38;0.949661;1.092999;93.107534;0.269193;0.0001;1.071852;0.283326;-0.021146;-0.014133;2;2;0;0;0.219997;0.30939;0.248909;0.286009;0.226998;0.637347;0.354205;0.390238;0.401881;0.356062;0.158471;0.0;0.236463;0.13386;0.078062
